# GENERATED by `cargo run -p xtask -- bluedb-gates`. DO NOT EDIT BY HAND.
# full-tier<TAB>commit<TAB>ran<TAB>host
# proof<TAB>mutation-id<TAB>outcome<TAB>commit
full-tier	bf8eeb9a	2026-08-14T13:42:01Z	macos/aarch64
proof	G0.1/hand-edit-status	PROVEN	2633796d
proof	G0.2/rt-imports-bluedb	PROVEN	2633796d
proof	G0.3/persistglue-unconditional	PROVEN	2633796d
proof	G0.4/dead-key	PROVEN	2633796d
proof	G0.5/second-go-build-site	PROVEN	2633796d
proof	G0.6/corrupt-expected	PROVEN	2633796d
proof	G0.7/mutationless-gate	PROVEN	2633796d
proof	G0.C/noop	VACUOUS	2633796d
proof	G2.13a/degenerate-upper-bound	PROVEN	2633796d
proof	G2.13a/iterate-bounds-end-in-a-user-byte	PROVEN	2633796d
proof	G2.13b/failed-scan-reads-as-an-empty-collection	PROVEN	2633796d
proof	G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store	PROVEN	2633796d
proof	G2.13d/commit-on-a-closed-engine-acks-success	PROVEN	2633796d
proof	G2.13e/mvcc-visibility-excludes-the-readts-itself	PROVEN	2633796d
proof	G2.13e/snapshot-readts-is-the-in-memory-high-water	PROVEN	2633796d
proof	G2.13f/close-does-not-quiesce-readers	PROVEN	2633796d
proof	G2.13f/closed-engine-reads-as-an-empty-store	PROVEN	2633796d
proof	G2.13f/token-released-before-the-snapshot	PROVEN	2633796d
proof	G2.13g/failed-point-read-reads-as-an-absent-row	PROVEN	2633796d
proof	G2.13h/advance-on-an-unknown-token-returns-nil	PROVEN	2633796d
proof	G2.13h/corrupt-cold-start-seed-leaves-the-floor-low	PROVEN	2633796d
proof	G2.13h/pending-window-does-not-see-the-batch	PROVEN	2633796d
proof	G2.13h/undecodable-payload-validates-as-no-changes	PROVEN	2633796d
proof	G2.13i/changelog-skips-a-corrupt-key	PROVEN	2633796d
proof	G2.13i/gc-skips-corrupt-keys-without-bound	PROVEN	2633796d
proof	G2.13j/changelog-handed-out-without-a-pin	PROVEN	2633796d
proof	G2.13j/gc-checks-closed-without-pinning	PROVEN	2633796d
proof	G2.13k/post-ack-panic-absorbed-on-the-blind-path	PROVEN	2633796d
proof	G2.13k/post-ack-panic-absorbed-on-the-txn-path	PROVEN	2633796d
proof	G2.6/disable-injection-point	PROVEN	2633796d
proof	G2.9a/ack-before-fsync	PROVEN	2633796d
proof	G2.9a/sealed-engine-still-runs-gc	PROVEN	2633796d
proof	G2.9a/wal-fatal-never-reaches-the-ack	PROVEN	2633796d
