# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G0.1/hand-edit-status TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.1/hand-edit-status TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.1/hand-edit-status TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.1/hand-edit-status TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.1/hand-edit-status TestCrashDurablePrefixNoReorder no-go-hunks
G0.1/hand-edit-status TestInjectedFaultsReopenConsistent no-go-hunks
G0.1/hand-edit-status TestSealContractRefusesWrites no-go-hunks
G0.1/hand-edit-status TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.1/hand-edit-status TestWrongComparerNameRefusesOpen no-go-hunks
G0.2/rt-imports-bluedb TestAuditH3ReaderGetSurfacesIoErrors green
G0.2/rt-imports-bluedb TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G0.2/rt-imports-bluedb TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G0.2/rt-imports-bluedb TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G0.2/rt-imports-bluedb TestCrashDurablePrefixNoReorder green
G0.2/rt-imports-bluedb TestInjectedFaultsReopenConsistent green
G0.2/rt-imports-bluedb TestSealContractRefusesWrites green
G0.2/rt-imports-bluedb TestSecondOpenFailsSingleProcessLock green
G0.2/rt-imports-bluedb TestWrongComparerNameRefusesOpen green
G0.3/persistglue-unconditional TestAuditH3ReaderGetSurfacesIoErrors green
G0.3/persistglue-unconditional TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G0.3/persistglue-unconditional TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G0.3/persistglue-unconditional TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G0.3/persistglue-unconditional TestCrashDurablePrefixNoReorder green
G0.3/persistglue-unconditional TestInjectedFaultsReopenConsistent green
G0.3/persistglue-unconditional TestSealContractRefusesWrites green
G0.3/persistglue-unconditional TestSecondOpenFailsSingleProcessLock green
G0.3/persistglue-unconditional TestWrongComparerNameRefusesOpen green
G0.4/dead-key TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.4/dead-key TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.4/dead-key TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.4/dead-key TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.4/dead-key TestCrashDurablePrefixNoReorder no-go-hunks
G0.4/dead-key TestInjectedFaultsReopenConsistent no-go-hunks
G0.4/dead-key TestSealContractRefusesWrites no-go-hunks
G0.4/dead-key TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.4/dead-key TestWrongComparerNameRefusesOpen no-go-hunks
G0.5/untagged-go-build-site TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.5/untagged-go-build-site TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.5/untagged-go-build-site TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.5/untagged-go-build-site TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.5/untagged-go-build-site TestCrashDurablePrefixNoReorder no-go-hunks
G0.5/untagged-go-build-site TestInjectedFaultsReopenConsistent no-go-hunks
G0.5/untagged-go-build-site TestSealContractRefusesWrites no-go-hunks
G0.5/untagged-go-build-site TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.5/untagged-go-build-site TestWrongComparerNameRefusesOpen no-go-hunks
G0.6/corrupt-expected TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.6/corrupt-expected TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.6/corrupt-expected TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.6/corrupt-expected TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.6/corrupt-expected TestCrashDurablePrefixNoReorder no-go-hunks
G0.6/corrupt-expected TestInjectedFaultsReopenConsistent no-go-hunks
G0.6/corrupt-expected TestSealContractRefusesWrites no-go-hunks
G0.6/corrupt-expected TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.6/corrupt-expected TestWrongComparerNameRefusesOpen no-go-hunks
G0.7/mutationless-gate TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.7/mutationless-gate TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.7/mutationless-gate TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.7/mutationless-gate TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.7/mutationless-gate TestCrashDurablePrefixNoReorder no-go-hunks
G0.7/mutationless-gate TestInjectedFaultsReopenConsistent no-go-hunks
G0.7/mutationless-gate TestSealContractRefusesWrites no-go-hunks
G0.7/mutationless-gate TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.7/mutationless-gate TestWrongComparerNameRefusesOpen no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestCrashDurablePrefixNoReorder no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestInjectedFaultsReopenConsistent no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestSealContractRefusesWrites no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestWrongComparerNameRefusesOpen no-go-hunks
G0.C/noop TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.C/noop TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.C/noop TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.C/noop TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.C/noop TestCrashDurablePrefixNoReorder no-go-hunks
G0.C/noop TestInjectedFaultsReopenConsistent no-go-hunks
G0.C/noop TestSealContractRefusesWrites no-go-hunks
G0.C/noop TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.C/noop TestWrongComparerNameRefusesOpen no-go-hunks
G1.1/remove-ceiling TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.1/remove-ceiling TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.1/remove-ceiling TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.1/remove-ceiling TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.1/remove-ceiling TestCrashDurablePrefixNoReorder patch-absent
G1.1/remove-ceiling TestInjectedFaultsReopenConsistent patch-absent
G1.1/remove-ceiling TestSealContractRefusesWrites patch-absent
G1.1/remove-ceiling TestSecondOpenFailsSingleProcessLock patch-absent
G1.1/remove-ceiling TestWrongComparerNameRefusesOpen patch-absent
