target	gomaxprocs	rep	sessions_est	interactions	throughput	p50_ms	p95_ms	app_cpu_s	wall_s	cpu_per_int_ms	valid
sky	1	1	50	2221	108.6391195889114	519.062	975.417	24.28	26	10.932	true
sky	1	2	50	2208	108.08630522587434	552.199	1002.075	23.59	27	10.684	true
sky	1	3	50	2262	110.4349135731765	550.627	965.035	24.46	26	10.813	true
sky	2	1	50	4122	204.14164243057294	171.553	750.907	45.70	26	11.087	true
sky	2	2	50	4253	210.6875464661402	134.546	782.774	46.63	26	10.964	true
sky	2	3	50	4339	214.859346494781	151.838	718.105	46.83	26	10.793	true
sky	4	1	50	7828	389.60139945125286	76.848	405.747	91.67	26	11.711	true
sky	4	2	50	7532	374.70063388744495	81.164	424.988	91.16	26	12.103	true
sky	4	3	50	7621	379.5537359203718	79.967	421.503	91.33	27	11.984	true
sky	8	1	50	8954	445.74801279738784	87.517	301.838	152.58	26	17.040	true
sky	8	2	50	8704	433.7255761010692	90.839	312.666	147.68	26	16.967	true
sky	8	3	50	9390	468.00654431643187	85.857	280.394	150.91	26	16.071	true
control	1	1	50	1192887	59642.05241219702	0.804	1.565	21.42	26	0.018	true
control	1	2	50	1096751	54835.434150097375	0.866	1.712	21.09	26	0.019	true
control	1	3	50	775348	38766.00426296762	0.974	3.167	18.57	26	0.024	true
control	2	1	50	1542205	77102.19635561654	0.513	1.571	36.84	26	0.024	true
control	2	2	50	1551621	77579.51101645021	0.52	1.529	36.94	26	0.024	true
control	2	3	50	1479628	73977.73162923283	0.525	1.636	36.70	26	0.025	true
control	4	1	50	534452	26474.44881477025	0.655	5.508	22.03	26	0.041	true
control	4	2	50	702076	35101.756638991654	0.643	4.228	30.55	26	0.044	true
control	4	3	50	1275647	63779.17499294488	0.454	2.414	49.55	26	0.039	true
control	8	1	50	908227	45410.68917911	0.523	2.795	32.28	26	0.036	true
control	8	2	50	1338170	66907.0132692942	0.482	1.956	43.69	26	0.033	true
control	8	3	50	1220075	60954.846307775064	0.48	2.177	39.68	27	0.033	true
