run	elements	ms_win	syscall	netpoll	memmove	maphash	reflect	gcalloc	skylogic	skyrt	sched
cpu-g1/p1-r1	30	0.675	93.5%	2.4%	0.2%	0.1%	0.9%	2.4%	0.2%	0.2%	0.2%	
cpu-g1/p1-r2	30	0.668	93.5%	2.4%	0.2%	0.2%	1.0%	2.1%	0.1%	0.3%	0.1%	
cpu-g1/p1-r3	30	0.643	94.5%	1.9%	0.0%	0.0%	0.6%	2.6%	0.1%	0.1%	0.1%	
cpu-g1/p100-r1	1614	31.702	2.7%	0.3%	3.7%	3.6%	24.3%	52.6%	2.8%	5.7%	4.3%	
cpu-g1/p100-r2	1614	32.913	2.6%	0.2%	4.6%	4.0%	23.7%	51.6%	3.9%	5.6%	3.9%	
cpu-g1/p100-r3	1614	31.866	3.4%	0.3%	4.9%	3.4%	24.2%	49.4%	3.4%	6.5%	4.5%	
cpu-g1/p12-r1	206	3.776	68.9%	2.7%	1.2%	1.5%	6.8%	13.8%	1.2%	2.2%	1.7%	
cpu-g1/p12-r2	206	3.817	64.4%	3.7%	1.7%	1.2%	8.3%	15.3%	1.3%	2.7%	1.5%	
cpu-g1/p12-r3	206	4.051	53.0%	2.0%	2.4%	1.6%	11.5%	22.0%	2.2%	3.2%	2.2%	
cpu-g1/p23-r1	382	7.149	14.3%	2.1%	3.3%	3.0%	23.1%	40.3%	4.1%	6.3%	3.5%	
cpu-g1/p23-r2	382	6.995	40.0%	4.4%	2.5%	2.4%	16.1%	25.9%	2.6%	4.2%	1.8%	
cpu-g1/p23-r3	382	7.189	38.3%	5.1%	2.2%	2.2%	17.3%	25.2%	2.8%	3.9%	3.1%	
cpu-g1/p3-r1	62	1.217	90.5%	2.3%	0.4%	0.5%	1.8%	3.0%	0.5%	0.5%	0.5%	
cpu-g1/p3-r2	62	1.301	89.3%	2.5%	0.4%	0.4%	1.6%	4.4%	0.3%	0.7%	0.4%	
cpu-g1/p3-r3	62	1.314	31.6%	0.9%	3.4%	2.4%	16.0%	35.2%	2.5%	4.7%	3.3%	
cpu-g1/p5-r1	94	1.924	42.7%	1.2%	2.6%	2.3%	15.2%	27.8%	1.9%	3.9%	2.4%	
cpu-g1/p5-r2	94	1.784	88.7%	3.3%	0.4%	0.4%	1.6%	4.4%	0.3%	0.7%	0.3%	
cpu-g1/p5-r3	94	1.786	87.0%	4.3%	0.6%	0.3%	2.1%	4.7%	0.1%	0.4%	0.5%	
cpu-g1/p60-r1	974	17.767	4.7%	1.3%	3.7%	3.4%	23.3%	49.6%	4.1%	6.1%	3.8%	
cpu-g1/p60-r2	974	18.479	4.7%	0.7%	3.3%	3.2%	23.9%	49.4%	3.9%	7.0%	4.0%	
cpu-g1/p60-r3	974	18.683	5.1%	0.7%	3.6%	3.8%	24.5%	49.0%	2.7%	6.6%	4.0%	
showcase-g1/r1	384		
showcase-g1/r2	384		
showcase-g1/r3	384		
