run	elements	tput	ints	patch_rate	ms_win	ms_run	objs_int	kb_int	gen_cpu_pct
cpu-g1/p1-r1	30	1492.9	67228	1.000	0.675	0.721	7384	319.4	1.24
cpu-g1/p1-r2	30	1508.2	67919	1.000	0.668	0.717	7417	320.9	1.17
cpu-g1/p1-r3	30	1509.6	67984	1.000	0.643	0.715	7417	320.8	1.16
cpu-g1/p100-r1	1614	31.7	1462	1.000	31.702	37.921	440768	22870.6	0.06
cpu-g1/p100-r2	1614	30.7	1414	1.000	32.913	39.208	442110	22952.1	0.06
cpu-g1/p100-r3	1614	31.5	1450	1.000	31.866	38.393	442125	22939.0	0.06
cpu-g1/p12-r1	206	259.7	11738	1.000	3.776	4.198	51350	2542.9	0.26
cpu-g1/p12-r2	206	258.7	11691	1.000	3.817	4.214	51378	2544.4	0.26
cpu-g1/p12-r3	206	252.6	11416	1.000	4.051	4.316	51501	2550.7	0.29
cpu-g1/p23-r1	382	138.2	6266	1.000	7.149	7.983	96646	4850.2	0.20
cpu-g1/p23-r2	382	141.5	6416	1.000	6.995	7.785	95972	4815.8	0.18
cpu-g1/p23-r3	382	142.6	6468	1.000	7.189	7.735	96381	4836.0	0.18
cpu-g1/p3-r1	62	798.8	35998	1.000	1.217	1.357	15330	707.7	0.67
cpu-g1/p3-r2	62	778.7	35093	1.000	1.301	1.393	15353	708.9	0.72
cpu-g1/p3-r3	62	771.3	34755	1.000	1.314	1.406	15361	709.3	0.74
cpu-g1/p5-r1	94	527.3	23777	1.000	1.924	2.061	23307	1110.7	0.52
cpu-g1/p5-r2	94	545.5	24599	1.000	1.784	1.992	23269	1108.7	0.48
cpu-g1/p5-r3	94	544.7	24561	1.000	1.786	1.994	23267	1108.6	0.48
cpu-g1/p60-r1	974	54.5	2489	1.000	17.767	21.020	255502	13179.8	0.09
cpu-g1/p60-r2	974	54.6	2501	1.000	18.479	20.960	255349	13170.2	0.09
cpu-g1/p60-r3	974	53.8	2460	1.000	18.683	21.301	255879	13201.1	0.09
