run	store	N	estab	tput	patch_rate	rss_load_MB	rss_gc_MB	rss_settle_MB	heap_load_MB	heap_settle_MB	kB_per_sess_load	goroutines
mem-pg/n100-r1	postgres	100	401	98.4	1.000	96.8	96.8	97.6	23.4	21.0	991	412
mem-pg/n100-r2	postgres	100	401	98.2	1.000	98.3	98.3	99.2	27.0	20.6	1007	411
mem-pg/n100-r3	postgres	100	401	98.4	1.000	99.3	99.3	100.1	31.4	20.9	1017	411
mem-pg/n300-r1	postgres	300	1201	294.9	1.000	207.7	207.7	208.4	57.6	43.6	709	1212
mem-pg/n300-r2	postgres	300	1201	294.3	1.000	211.0	211.0	211.8	63.6	43.6	720	1213
mem-pg/n300-r3	postgres	300	1201	294.8	1.000	209.6	209.6	210.3	55.4	43.6	715	1213
mem-pg/n500-r1	postgres	500	2001	491.6	1.000	300.5	300.5	301.0	117.3	66.1	615	2011
mem-pg/n500-r2	postgres	500	2001	491.5	1.000	341.5	341.5	342.3	116.7	66.1	699	2011
mem-pg/n500-r3	postgres	500	2001	487.6	1.000	338.4	338.4	339.2	92.1	66.0	693	2014
mem-pgevict/n100-r1	postgres	100	401	97.2	1.000	98.2	98.2	101.0	25.1	20.6	1006	411
mem-pgevict/n300-r1	postgres	300	1201	288.7	1.000	212.8	212.8	223.9	115.0	43.3	726	1230
mem-pgevict/n500-r1	postgres	500	2001	492.1	1.000	323.5	323.5	324.1	86.9	65.7	663	2011
