cfg	level	repeat	idle_app_kb	idle_pg_rss_kb	idle_pg_pss_kb	idle_app_pss_kb	idle_pg_nproc	idle_mem_avail_kb	load_app_kb	load_pg_rss_kb	delta_app_kb	delta_pg_kb	pg_backends_max	established	kb_per_session	tput	p50	p95	p99	err	valid	gen_cpu_pct	store
A	25	1	21296	0	0	24204	0	1626932	64244	0	42948	0	0	25	1718	21.408706299197185	141.946	181.594	209.037	0	true	0.18423675542182885	session_store:_memory
B	25	1	26228	77268	29995	27704	6	1615908	59660	79428	33432	2160	0	25	1337	21.450581239527022	141.078	178.157	201.497	0	true	0.17183121760560022	session_store:_memory
C	25	1	27028	92048	33164	28968	7	1612012	60236	171788	33208	79740	0	25	1328	21.346906557013693	142.021	200.598	243.995	0	true	0.17909307949212935	session_store:_postgres
A	25	2	22972	0	0	24344	0	1643432	64052	0	41080	0	0	25	1643	21.44735369491265	140.029	174.422	195.416	0	true	0.1805226286594888	session_store:_memory
B	25	2	26420	79812	30007	27372	6	1618640	57764	78696	31344	-1116	0	25	1254	21.37183376395034	142.035	180.437	225.355	0	true	0.1850418755898454	session_store:_memory
C	25	2	24016	92308	33032	27180	7	1609576	60900	170116	36884	77808	0	25	1475	21.399526684856184	144.42	201.989	242.547	0	true	0.18549640216022162	session_store:_postgres
A	25	3	23532	0	0	26264	0	1612700	61716	0	38184	0	0	25	1527	21.524588592343495	140.347	175.076	198.252	0	true	0.17896326704888077	session_store:_memory
B	25	3	23540	78108	30172	25516	6	1623240	59124	78108	35584	0	1	25	1423	21.354805659124672	142.386	200.67	243.949	0	true	0.18148829746452472	session_store:_memory
C	25	3	26112	92592	33093	28776	7	1607664	62052	171384	35940	78792	7	25	1438	21.23975639930297	145.271	210.976	267.024	0	true	0.18718721676915745	session_store:_postgres
A	50	1	21456	0	0	24344	0	1630404	86208	0	64752	0	0	50	1295	41.03291412149399	176.073	301.701	373.192	0	true	0.3093263297798411	session_store:_memory
B	50	1	20636	79244	30358	23792	6	1605344	91180	79244	70544	0	1	50	1411	26.557771116961934	203.937	4604.052	6569.536	0	true	0.22517780318731198	session_store:_memory
C	50	1	26024	92140	33183	28952	7	1595800	116664	171544	90640	79404	7	50	1813	19.268784733893916	261.023	5774.394	7616.872	0	true	0.16787948523257681	session_store:_postgres
A	50	2	19380	0	0	22032	0	1643536	98920	0	79540	0	0	50	1591	21.546129059966436	214.225	5053.345	7278.305	0	true	0.1736675715078991	session_store:_memory
B	50	2	23684	79260	30105	25692	6	1625828	99708	79260	76024	0	1	50	1520	19.9646368274643	227.823	5484.691	7425.994	0	true	0.17354170455003518	session_store:_memory
C	50	2	26016	92900	33130	29148	7	1601492	112324	172128	86308	79228	7	50	1726	19.331896069011844	327.504	5815.804	8187.701	0	true	0.15327899967938544	session_store:_postgres
A	50	3	18528	0	0	20408	0	1632340	108560	0	90032	0	0	50	1801	21.92252767151055	232.331	4813.185	6296.488	0	true	0.19241353105672665	session_store:_memory
B	50	3	21504	77012	30284	24512	6	1610796	100224	79036	78720	2024	1	50	1574	21.868853295838033	201.526	5293.51	6960.114	0	true	0.18953333960309268	session_store:_memory
C	50	3	22048	92836	32473	27136	7	1596060	110244	173608	88196	80772	7	50	1764	19.207916023499124	281.83	5728.65	7803.772	0	true	0.1598953841647496	session_store:_postgres
A	100	1	25268	0	0	26116	0	1628684	164712	0	139444	0	0	100	1394	18.255154467219576	1440.106	13114.948	17211.092	0	true	0.17796718159851185	session_store:_memory
B	100	1	22880	77896	30155	25536	6	1601996	157732	77896	134852	0	1	100	1349	18.212958437950476	1674.493	14490.175	20043.377	0	true	0.17826371249014394	session_store:_memory
C	100	1	25264	91320	33041	28760	7	1608392	191656	173828	166392	82508	7	100	1664	17.98291153107531	2239.656	12561.869	14312.361	0	true	0.13597781745511248	session_store:_postgres
A	100	2	21504	0	0	24080	0	1634200	163104	0	141600	0	0	100	1416	18.298302580739065	1448.693	13725.829	18928.205	0	true	0.19415751826515112	session_store:_memory
B	100	2	23880	76972	30304	25548	6	1600072	167388	76972	143508	0	2	100	1435	18.525887013259744	1466.234	13205.404	16596.595	0	true	0.17442952084294813	session_store:_memory
C	100	2	24532	91468	32939	26984	7	1603636	194560	171964	170028	80496	7	100	1700	18.21394826413052	2150.331	12314.671	16172.823	0	true	0.1450111561521049	session_store:_postgres
A	100	3	21776	0	0	24344	0	1644780	163900	0	142124	0	0	100	1421	16.9924560568142	1756.031	13765.895	17196.438	0.0017793594306049821	true	0.16914107833046907	session_store:_memory
B	100	3	22140	77532	30104	25436	6	1592644	167184	79520	145044	1988	1	100	1450	16.532371045006144	1755.585	14724.605	19378.653	0.0008944543828264759	true	0.1633551309372113	session_store:_memory
C	100	3	21680	92600	33100	25196	7	1600096	198692	172944	177012	80344	7	100	1770	17.23066185327808	2256.497	13332.065	22754.66	0	true	0.14888618506291462	session_store:_postgres
