#meta pid=1137 ncpu=2 clk_tck=100 kernel=Linux 6.1.0-52-cloud-amd64 x86_64 memtotal_kb=993232
#meta boot_epoch=1786798047 now_epoch=1786798642
#meta metrics_auth=ok
ts	rss_kb	vmsize_kb	threads	conn_app	conn_pub	proc_jiffies	cpu_total	cpu_idle	load1	req_total	msg_total	mem_avail_kb
1786798642	23264	1346704	7	0	0	0	118523	116925	0.04	0	0	597332
1786798647	23264	1346704	7	0	0	1	119534	117927	0.04	0	0	596888
1786798652	23264	1346704	7	0	0	1	120544	118929	0.04	0	0	596888
1786798657	23264	1346704	7	0	0	1	121555	119932	0.03	0	0	596896
1786798662	23264	1346704	7	0	0	1	122565	120935	0.03	0	0	596896
1786798667	23264	1346704	7	0	0	1	123575	121938	0.03	0	0	596904
1786798672	23264	1346704	7	0	0	1	124584	122939	0.02	0	0	596904
1786798677	23264	1346704	7	0	0	1	125594	123942	0.02	0	0	596904
1786798682	23264	1346704	7	0	0	2	126604	124945	0.02	0	0	596904
1786798687	23264	1346704	7	0	0	2	127615	125948	0.02	0	0	596904
1786798693	23264	1346704	7	0	0	2	128624	126949	0.02	0	0	596904
1786798698	23264	1346704	7	0	0	2	129635	127951	0.02	0	0	596428
1786798703	23264	1346704	7	0	0	2	130646	128954	0.01	0	0	596176
1786798708	23264	1346704	7	0	0	2	131658	129957	0.01	0	0	595924
1786798713	23264	1346704	7	0	0	2	132671	130961	0.01	0	0	595424
1786798718	23264	1346704	7	0	0	2	133681	131964	0.01	0	0	594920
1786798723	23264	1346704	7	0	0	2	134690	132966	0.01	0	0	594416
1786798728	23264	1346704	7	0	0	2	135700	133969	0.01	0	0	594164
1786798733	23264	1346704	7	0	0	2	136710	134971	0.01	0	0	590084
1786798738	23264	1346704	7	0	0	2	137718	135973	0.01	0	0	590084
1786798743	23264	1346704	7	0	0	3	138730	136977	0.01	0	0	590084
1786798748	23264	1346704	7	0	0	3	139740	137978	0.09	0	0	590084
1786798753	23264	1346704	7	0	0	3	140751	138980	0.07	0	0	590084
1786798758	23264	1346704	7	0	0	3	141761	139982	0.07	0	0	590084
1786798763	23264	1346704	7	0	0	3	142772	140985	0.06	0	0	590084
1786798768	23264	1346704	7	0	0	3	143782	141988	0.06	0	0	590084
1786798773	23264	1346960	7	0	0	3	144792	142991	0.05	0	0	590084
1786798778	23264	1346960	7	0	0	3	145802	143993	0.05	0	0	590084
1786798784	23264	1346960	7	0	0	3	146813	144997	0.04	0	0	590084
1786798789	23264	1346960	7	0	0	3	147823	145998	0.04	0	0	590084
1786798794	23264	1346960	7	0	0	3	148834	146999	0.04	0	0	590092
1786798799	23264	1346960	7	0	0	3	149842	148001	0.03	0	0	590092
1786798804	23264	1346960	7	0	0	3	150853	149005	0.03	0	0	590100
1786798809	23264	1346960	7	0	0	3	151865	150005	0.03	0	0	590108
1786798814	23264	1346960	7	0	0	3	152877	151009	0.02	0	0	590108
1786798819	23264	1346960	7	0	0	3	153888	152012	0.02	0	0	590108
1786798824	23264	1346960	7	0	0	3	154897	153014	0.02	0	0	590108
1786798829	23264	1346960	7	0	0	3	155907	154016	0.02	0	0	590108
1786798834	23264	1346960	7	0	0	3	156918	155020	0.02	0	0	589856
1786798839	23264	1346960	7	0	0	3	157928	156022	0.02	0	0	589856
1786798844	23264	1346960	7	0	0	3	158939	157026	0.01	0	0	589856
1786798849	23264	1346960	7	0	0	3	159950	158028	0.01	0	0	589856
1786798854	24288	1347288	7	0	0	4	160961	159032	0.01	0	0	589856
1786798859	24288	1347288	7	0	0	5	161971	160034	0.01	0	0	589856
1786798864	24288	1347288	7	0	0	5	162981	161038	0.01	0	0	589856
1786798870	24288	1347288	7	0	0	5	163993	162038	0.01	0	0	589604
1786798875	24288	1347288	7	0	0	5	165006	163042	0.01	0	0	587596
1786798880	24288	1347288	7	0	0	5	166016	164045	0.01	0	0	614628
#meta pid_changed from=1137 to=2829 at=1786798885
1786798885	21272	1346704	7	0	0	2	167029	165023	0.01	0	0	600716
1786798890	21272	1346704	7	0	0	2	168037	166024	0.00	0	0	600716
1786798895	21272	1346704	7	0	0	2	169049	167028	0.00	0	0	600724
1786798900	21272	1346704	7	0	0	2	170057	168030	0.00	0	0	600724
1786798905	21272	1346704	7	0	0	2	171068	169033	0.00	0	0	600472
1786798910	21272	1346704	7	0	0	2	172080	170035	0.00	0	0	600472
1786798915	21272	1346704	7	0	0	2	173090	171020	0.00	0	0	598716
1786798920	21272	1346704	7	0	0	2	174101	172019	0.00	0	0	598220
1786798925	39964	1415016	8	18	0	118	175118	172879	0.00	17	0	583280
1786798930	57676	1415720	8	43	0	276	176130	173705	0.00	42	0	566512
1786798935	75092	1416424	8	68	0	425	177145	174542	0.00	67	0	544052
1786798940	92140	1417128	8	94	0	581	178164	175373	0.00	93	0	524688
