#meta pid=1138 ncpu=2 clk_tck=100 kernel=Linux 6.1.0-52-cloud-amd64 x86_64 memtotal_kb=2023888
#meta boot_epoch=1786798090 now_epoch=1786798644
#meta metrics_auth=ok
ts	rss_kb	vmsize_kb	threads	conn_app	conn_pub	proc_jiffies	cpu_total	cpu_idle	load1	req_total	msg_total	mem_avail_kb
1786798644	22392	1346704	8	0	0	1	110539	109120	0.03	0	0	1626692
1786798649	22392	1346960	8	0	0	1	111548	110120	0.03	0	0	1626704
1786798654	22392	1346960	8	0	0	1	112560	111123	0.03	0	0	1626704
1786798660	22392	1346960	8	0	0	1	113570	112125	0.02	0	0	1626712
1786798665	22392	1346960	8	0	0	1	114582	113128	0.02	0	0	1626712
1786798670	22392	1346960	8	0	0	1	115592	114131	0.02	0	0	1626720
1786798675	22392	1346960	8	0	0	2	116603	115134	0.02	0	0	1626720
1786798680	22392	1346960	8	0	0	2	117614	116136	0.02	0	0	1626720
1786798685	22392	1346960	8	0	0	2	118624	117140	0.02	0	0	1626720
1786798690	22392	1346960	8	0	0	2	119634	118142	0.01	0	0	1626720
1786798695	22392	1346960	8	0	0	2	120645	119145	0.01	0	0	1626720
1786798700	22392	1346960	8	0	0	2	121653	120147	0.01	0	0	1626720
1786798705	22392	1346960	8	0	0	2	122663	121150	0.01	0	0	1626720
1786798710	22392	1346960	8	0	0	2	123674	122151	0.01	0	0	1626720
1786798715	22392	1346960	8	0	0	2	124685	123154	0.01	0	0	1626720
1786798720	22392	1346960	8	0	0	2	125697	124157	0.09	0	0	1626720
1786798725	22392	1346960	8	0	0	2	126707	125160	0.08	0	0	1626720
1786798730	22392	1346960	8	0	0	2	127717	126163	0.07	0	0	1626720
1786798735	22392	1346960	8	0	0	2	128728	127166	0.07	0	0	1626720
1786798740	22392	1346960	8	0	0	2	129737	128165	0.06	0	0	1625980
1786798745	22392	1346960	8	0	0	2	130748	129169	0.06	0	0	1625980
1786798751	22392	1346960	8	0	0	2	131757	130172	0.05	0	0	1625988
1786798756	22392	1346960	8	0	0	2	132768	131175	0.05	0	0	1625988
1786798761	22392	1346960	8	0	0	2	133779	132176	0.04	0	0	1625988
1786798766	22392	1346960	8	0	0	2	134790	133179	0.04	0	0	1626004
1786798771	22392	1346960	8	0	0	2	135800	134180	0.04	0	0	1626004
1786798776	22392	1346960	8	0	0	2	136811	135183	0.03	0	0	1626004
1786798781	22392	1346960	8	0	0	3	137823	136186	0.32	0	0	1626004
1786798786	22392	1346960	8	0	0	3	138833	137188	0.30	0	0	1626004
1786798791	22392	1346960	8	0	0	3	139845	138191	0.27	0	0	1626004
1786798796	22392	1346960	8	0	0	3	140855	139194	0.25	0	0	1626004
1786798801	22392	1346960	8	0	0	3	141866	140197	0.23	0	0	1626004
1786798806	22392	1346960	8	0	0	3	142877	141200	0.21	0	0	1626004
1786798811	22392	1346960	8	0	0	3	143887	142203	0.19	0	0	1626012
1786798816	22392	1346960	8	0	0	3	144896	143206	0.18	0	0	1626012
1786798821	22392	1346960	8	0	0	3	145906	144209	0.16	0	0	1626012
1786798826	22392	1346960	8	0	0	4	146918	145210	0.23	0	0	1626028
1786798831	22392	1346960	8	0	0	4	147927	146207	0.21	0	0	1626084
1786798837	22392	1346960	8	0	0	4	148936	147210	0.20	0	0	1626092
1786798842	22392	1346960	8	0	0	4	149948	148212	0.18	0	0	1626092
1786798847	24440	1346960	8	0	0	4	150958	149215	0.16	0	0	1626100
1786798852	24440	1346960	8	0	0	4	151969	150218	0.15	0	0	1626100
1786798857	24440	1346960	8	0	0	4	152980	151220	0.14	0	0	1626100
1786798862	24440	1346960	8	0	0	4	153991	152223	0.13	0	0	1626100
1786798867	24440	1346960	8	0	0	4	155001	153225	0.12	0	0	1625860
1786798872	24440	1346960	8	0	0	4	156011	154228	0.11	0	0	1625608
1786798877	24440	1346960	8	0	0	4	157021	155230	0.10	0	0	1625616
1786798882	24440	1346960	8	0	0	4	158032	156233	0.09	0	0	1625616
#meta pid_changed from=1138 to=2818 at=1786798887
1786798887	23376	1346704	6	0	0	1	159043	157208	0.08	0	0	1620780
1786798892	23376	1346704	7	0	0	1	160056	158212	0.08	0	0	1620780
1786798897	23376	1346704	7	0	0	1	161065	159213	0.07	0	0	1620788
1786798902	23376	1346704	7	0	0	1	162076	160217	0.06	0	0	1620788
1786798907	23376	1346704	7	0	0	1	163085	161220	0.06	0	0	1620788
1786798912	23376	1346960	7	0	0	1	164097	162223	0.05	0	0	1620788
1786798917	23376	1346960	7	0	0	1	165105	163209	0.05	0	0	1620800
1786798922	23376	1346960	7	0	0	1	166118	164207	0.05	0	0	1620812
1786798928	41940	1414760	8	13	0	75	167129	165108	0.04	12	0	1612148
1786798933	59436	1415464	8	38	0	238	168136	165929	0.04	37	0	1603212
1786798938	72884	1416424	8	64	0	393	169140	166756	0.03	63	0	1587944
1786798943	93792	1417064	8	89	0	552	170147	167583	0.03	88	0	1565964
