target	cfg	posts	block	rep	level	elements	store	idle_app_kb	idle_pg_pss_kb	idle_mem_avail_kb	fsync	shared_buffers	max_connections	load_app_kb	load_pg_rss_kb	backends_max	cpu_busy_pct	app_cpu_pct	pg_cpu_pct	established	tput	p50	p95	p99	err	patch_rate	valid	gen_cpu_pct	xact_per_s	wal_rec_per_s	gen_saturated	interactions
medium	mem	5	1	1	100	94	memory	27588	0	3536976	NA	NA	NA	95112	0	0	75.0	72.3	0.0	100	362.57432778567005	296.561	593.384	800.751	0	1	true	3.9222694466740426	NA	NA	false	32724
small	mem	5	1	1	100	94	memory	27584	0	1646356	NA	NA	NA	94936	0	0	58.4	158.9	0.0	100	226.60457539468104	328.178	1502.31	2759	0	1	true	2.518583537846515	NA	NA	false	20675
medium	mem	5	1	1	300	94	memory	27488	0	3527024	NA	NA	NA	185852	0	0	75.2	72.3	0.0	300	365.34613028146913	876.683	1706.919	2374.499	0	1	true	3.993248186660085	NA	NA	false	33163
small	mem	5	1	1	300	94	memory	27624	0	1637732	NA	NA	NA	195832	0	0	56.9	167.6	0.0	300	106.705468751967	2023.559	7526.109	10496.554	0	1	true	1.38296112153012	NA	NA	false	10030
medium	mem	5	1	1	500	94	memory	27440	0	3543280	NA	NA	NA	276404	0	0	78.1	75.0	0.0	500	361.56207761715785	1509.964	3104.422	4216.896	0	1	true	4.103312667686866	NA	NA	false	33020
small	mem	5	1	1	500	94	memory	27356	0	1630796	NA	NA	NA	257344	0	0	59.2	189.9	0.0	500	75.38431446598604	6518.041	15704.351	21722.672	0.0012400110223201985	0.9987599889776798	true	1.1014818888016287	NA	NA	false	7258
medium	pg	5	1	1	100	94	postgres	30216	48458	3510144	on	588MB	56	115936	610272	7	78.5	67.4	4.5	100	303.63917667903127	237.216	926.513	1415.298	0	1	true	3.190073005348952	240.2	2816.4	false	27340
small	pg	5	1	1	100	94	postgres	27292	35749	1601708	on	296MB	56	106264	350696	7	63.3	171.1	10.6	100	84.20546493672084	728.981	3792.668	6007.644	0	1	true	1.0892966336999363	55.2	655.8	false	7604
medium	pg	5	1	1	300	94	postgres	28236	48285	3488016	on	588MB	56	230284	611760	7	77.0	84.8	6.0	300	269.0944551320535	787.82	3333.831	5508.119	0	1	true	2.87245147535701	185.5	2329.0	false	24341
small	pg	5	1	1	300	94	postgres	28660	35539	1610080	on	296MB	56	234120	328740	7	64.8	176.9	14.4	300	69.0378764094059	2995.114	13280.144	20287.977	0.0008007687379884689	0.9991992312620115	true	0.9594352016195884	58.8	688.0	false	6244
medium	pg	5	1	1	500	94	postgres	25528	47794	3517392	on	588MB	56	342736	584192	7	75.6	106.9	7.2	500	222.86757414622213	1515.479	7080.613	11566.879	0	1	true	2.4375188095422873	133.9	1699.6	false	20174
small	pg	5	1	1	500	94	postgres	28244	35569	1610424	on	296MB	56	341352	326200	7	65.9	181.9	10.7	500	65.71880773694836	5743.371	21197.954	26730.607	0.019346230820547032	0.980653769179453	true	0.7973507523662284	62.0	698.8	false	5996
medium	pg	5	2	1	100	94	postgres	27532	48465	3462112	on	588MB	56	117216	596676	7	79.5	71.6	4.9	100	287.01400172055423	254.545	983.571	1505.441	0	1	true	3.087415202209575	220.9	2612.3	false	25846
small	pg	5	2	1	100	94	postgres	25976	35627	1610028	on	296MB	56	102460	332616	7	62.5	169.7	12.3	100	73.34269784886327	973.118	4254.81	6523.472	0	1	true	0.9981392550750319	55.8	642.7	false	6604
medium	pg	5	2	1	300	94	postgres	29612	48333	3474756	on	588MB	56	226040	589132	7	76.4	83.1	6.2	300	255.10822490597312	820.312	3567.285	5835.643	0	1	true	2.713618602336066	181.9	2241.1	false	23060
small	pg	5	2	1	300	94	postgres	27328	35628	1597024	on	296MB	56	223580	323464	7	64.9	179.2	14.7	300	64.32009579045246	3286.901	13977.973	20391.056	0.001199040767386091	0.9988009592326139	true	0.896736496845852	58.0	668.4	false	5838
medium	pg	5	2	1	500	94	postgres	27052	48294	3489588	on	588MB	56	353544	601920	7	76.9	92.9	6.3	500	245.18763090586353	1376.561	6391.811	10886.528	0	1	true	2.6736007229022705	157.3	1986.6	false	22160
small	pg	5	2	1	500	94	postgres	26348	35275	1605504	on	296MB	56	354228	320684	8	64.8	178.1	14.6	500	65.97532637199109	5743.047	21018.405	27018.12	0.016766268260292164	0.9832337317397079	true	0.7854825877544627	62.0	707.0	false	6024
medium	mem	5	2	1	100	94	memory	26620	0	3520000	NA	NA	NA	94220	0	0	73.3	84.5	0.0	100	322.54272034273805	311.913	739.37	1037.09	0	1	true	3.899971210945899	NA	NA	false	29209
small	mem	5	2	1	100	94	memory	26292	0	1642396	NA	NA	NA	94068	0	0	53.2	167.2	0.0	100	108.61053410238733	443.589	2995.571	5959.725	0	1	true	1.4984516451626029	NA	NA	false	9910
medium	mem	5	2	1	300	94	memory	26856	0	3515640	NA	NA	NA	184192	0	0	77.3	82.2	0.0	300	325.9532317911751	928.453	1929.969	2586.953	0	1	true	3.7449194797882344	NA	NA	false	29930
