run	target	cfg	block	level	win_s	win_n	conn_max	app_cores	pg_cores	machine_busy_cores	stat_tick_hz	load_app_kb	load_pg_rss_kb	backends_max	mem_avail_min_kb	xact_per_s	wal_rec_per_s
medium-mem-n100-b1r1	medium	mem	1	100	102	95	200	1.865	0.000	1.920	199.0	92160	0	0	3461152	NA	NA
medium-mem-n100-b2r1	medium	mem	2	100	104	90	200	1.799	0.000	1.783	186.0	94064	0	0	3459500	NA	NA
medium-mem-n100-b3r1	medium	mem	3	100	101	90	200	1.853	0.000	1.946	200.7	94976	0	0	3446636	NA	NA
medium-mem-n300-b1r1	medium	mem	1	300	102	95	600	1.882	0.000	1.942	200.4	174932	0	0	3305072	NA	NA
medium-mem-n300-b2r1	medium	mem	2	300	104	90	600	1.831	0.000	1.863	191.9	182588	0	0	3317560	NA	NA
medium-mem-n300-b3r1	medium	mem	3	300	104	90	600	1.825	0.000	1.841	190.0	188696	0	0	3310408	NA	NA
medium-mem-n500-b1r1	medium	mem	1	500	102	94	1000	1.895	0.000	1.959	200.5	273656	0	0	3104080	NA	NA
medium-mem-n500-b2r1	medium	mem	2	500	104	88	1000	1.834	0.000	1.763	180.5	274540	0	0	3191092	NA	NA
medium-mem-n500-b3r1	medium	mem	3	500	105	86	1000	1.766	0.000	1.772	181.7	307352	0	0	809568	NA	NA
medium-pg-n100-b1r1	medium	pg	1	100	101	83	200	1.637	0.113	1.912	199.8	113796	524392	7	3308960	297.3	3237.3
medium-pg-n100-b2r1	medium	pg	2	100	101	82	200	1.646	0.115	1.898	195.9	114168	516588	7	3330580	282.4	3123.9
medium-pg-n100-b3r1	medium	pg	3	100	100	81	200	1.640	0.118	1.907	196.9	116076	517004	7	3355268	282.3	3299.8
medium-pg-n100-bfsr1	medium	pg	fs	100	101	82	200	1.635	0.126	1.933	199.4	113604	516888	7	3302560	284.1	3101.8
medium-pg-n100-bfsr2	medium	pg	fs	100	101	83	200	1.650	0.116	1.934	200.2	112360	521312	7	3299032	286.9	3189.0
medium-pg-n100-bfsr3	medium	pg	fs	100	101	83	200	1.644	0.114	1.925	200.1	112076	511496	7	3297732	288.3	3255.1
medium-pg-n300-b1r1	medium	pg	1	300	102	80	600	1.640	0.113	1.743	179.6	236176	533032	7	3187212	265.2	3140.1
medium-pg-n300-b2r1	medium	pg	2	300	102	79	600	1.625	0.117	1.746	180.2	238596	509564	7	3195068	248.1	2880.2
medium-pg-n300-b3r1	medium	pg	3	300	101	78	600	1.635	0.114	1.768	182.3	240756	518268	7	3201116	258.4	3015.0
medium-pg-n500-b1r1	medium	pg	1	500	102	74	1000	1.615	0.110	1.552	159.5	363880	501248	7	3039116	222.8	2617.0
medium-pg-n500-b2r1	medium	pg	2	500	101	76	1000	1.642	0.113	1.691	173.5	373928	514116	7	3015292	242.9	2836.3
