tag	sessions	gogc	goml	tput	win_peak_rss_kb	win_mean_rss_kb	idle_rss_kb	pg_peak_kb	app_cpu_s	estab	err	patch	valid	verdict
ab-control-n100-r1	100	100	none	2717.332239877341	139920	139752	38416	82288	288.25	100	0	1	true	OK
ab-control-n100-r2	100	100	none	2227.8243826151984	145568	144778	37888	82336	248.81	100	0	1	true	OK
ab-control-n100-r3	100	100	none	2752.5391278142406	140496	140125	37360	82320	292.89	100	0	1	true	OK
ab-treat-n100-r1	100	100	none	2611.027210944979	143184	140961	38064	82336	278.25	100	0	1	true	OK
ab-treat-n100-r2	100	100	none	2113.753589967227	163008	162012	37808	82352	228.08	100	0	1	true	OK
ab-treat-n100-r3	100	100	none	1905.9049889912606	165248	157522	37536	82336	214.12	100	0	1	true	OK
combo-n100-gogc400-750MiB	100	400	750MiB	2965.3033370865633	390480	382790	41072	82320	250.71	100	0	1	true	OK
combo-n500-gogc200-750MiB	500	200	750MiB	3060.450575782284	656800	651361	41312	82288	284.18	500	0	1	true	OK
combo-n500-gogc400-750MiB	500	400	750MiB	3344.6062727716503	758512	757730	42448	82336	288.21	500	0	1	true	OK
gml-n100-gogc100-750MiB	100	100	750MiB	2732.265198377312	145136	143868	37568	82304	288.34	100	0	1	true	OK
gml-n100-gogcoff-750MiB	100	off	750MiB	3289.224339086934	776128	775778	42784	82352	265.15	100	0	1	true	OK
gml-n500-gogc100-1500MiB	500	100	1500MiB	2830.420024038121	399616	398754	37232	82304	299.23	500	0	1	true	OK
gml-n500-gogc100-750MiB	500	100	750MiB	2839.83122816891	404320	397552	37264	82320	302.45	500	0	1	true	OK
gml-n500-gogcoff-1500MiB	500	off	1500MiB	3406.1548205159384	1518352	1518126	42416	82320	277.17	500	0	1	true	OK
gml-n500-gogcoff-750MiB	500	off	750MiB	3074.1449261225252	766496	765996	42704	82384	269.25	500	0	1	true	OK
n100-gogc100-b1	100	100	none	2791.0180364058906	138800	138236	38512	82304	287.78	100	0	1	true	OK
n100-gogc100-b2	100	100	none	2798.796569685172	143408	140122	36992	82336	296.95	100	0	1	true	OK
n100-gogc200-b1	100	200	none	3108.38519604599	208880	206779	41328	82288	279.29	100	0	1	true	OK
n100-gogc200-b2	100	200	none	3136.9326949062784	220240	210382	41488	82320	284.20	100	0	1	true	OK
n100-gogc400-b1	100	400	none	3374.954540457937	319520	313524	42448	82368	283.74	100	0	1	true	OK
n100-gogc400-b2	100	400	none	3374.958779169867	350640	332913	42256	82352	277.27	100	0	1	true	OK
n100-gogc800-b1	100	800	none	3059.8315060394834	791184	675300	42848	82336	248.81	100	0	1	true	OK
n100-gogc800-b2	100	800	none	3521.1149892583535	563680	561048	42976	82352	282.01	100	0	1	true	OK
n300-gogc100-b1	300	100	none	2696.1381875153984	274688	267785	38176	82304	287.81	300	0	1	true	OK
n300-gogc100-b2	300	100	none	2826.8710533688195	274384	270375	37968	82352	299.33	300	0	1	true	OK
n300-gogc200-b1	300	200	none	3183.0742907779177	424512	416334	40416	82336	291.93	300	0	1	true	OK
n300-gogc200-b2	300	200	none	3187.6106997401266	422064	417933	41056	82336	293.17	300	0	1	true	OK
n300-gogc400-b1	300	400	none	3423.3958120822977	724928	724585	41760	82320	286.97	300	0	1	true	OK
n300-gogc400-b2	300	400	none	3409.288046042867	665824	659618	41728	82336	286.31	300	0	1	true	OK
n300-gogc800-b1	300	800	none	3530.424924817292	1176016	1173146	42624	82352	283.96	300	0	1	true	OK
n300-gogc800-b2	300	800	none	3201.291893346933	1972464	1517958	42736	82256	254.63	300	0	1	true	OK
n500-gogc100-b1	500	100	none	2793.4262617604404	412848	412396	37792	82320	291.35	500	0	1	true	OK
n500-gogc100-b2	500	100	none	2838.496888328854	409616	405800	36672	82320	302.22	500	0	1	true	OK
n500-gogc200-b1	500	200	none	3181.576822265031	669936	640281	41520	82304	293.16	500	0	1	true	OK
n500-gogc200-b2	500	200	none	3191.3229999268906	640672	636233	40496	82400	292.00	500	0	1	true	OK
n500-gogc400-b1	500	400	none	3217.347785539036	1197696	1065389	41616	82368	278.62	500	0	1	true	OK
n500-gogc400-b2	500	400	none	3409.883233725293	1040736	1036790	41392	82336	288.54	500	0	1	true	OK
n500-gogc800-b1	500	800	none	3534.922972321175	1713968	1706514	42768	82352	284.88	500	0	1	true	OK
n500-gogc800-b2	500	800	none	3457.1102392821585	2026336	1996016	42848	82336	268.85	500	0	1	true	OK
pilot-n100-gogc100	100	100	none	2806.5138469946414	137984	136947	37744	82288	295.61	100	0	1	true	OK
