tag	gomaxprocs	sessions	block	variant	elements	threads_idle	idle_rss_kb	load_rss_kb	app_cores	box_busy_pct	established	tput	p50	p95	p99	err	patch_rate	valid	gen_cpu_pct	gen_sat	genbox_busy_pct	interactions	gogc	window_rows
g1-n100-b1	1	100	1	plain	94	5	27680	84864	0.911	12.3	100	475.2284019761499	258.949	307.412	319.241	0	1	true	2.2003728508600227	false	1.9	21489	default	56
g2-n100-b1	2	100	1	plain	94	7	27312	95372	1.774	24.3	100	853.212014958686	124.152	248.588	339.283	0	1	true	3.5141293103571156	false	3.2	38498	default	56
g4-n100-b1	4	100	1	plain	94	10	25152	102608	3.508	46.8	100	1534.0434497238257	52.41	168.506	251.846	0	1	true	5.319075387304541	false	4.8	69120	default	55
g8-n100-b1	8	100	1	plain	94	13	25448	106880	6.831	85.5	100	1796.1987044774646	35.472	169.749	269.978	0	1	true	6.133989103887591	false	5.3	80906	default	55
g8-n100-b2	8	100	2	plain	94	12	24768	104156	6.847	85.6	100	1792.770784680148	36.472	168.44	262.537	0	1	true	6.068622292304828	false	5.3	80754	default	55
g4-n100-b2	4	100	2	plain	94	9	26048	105548	3.512	46.8	100	1538.8011664466776	52.314	168.066	256.11	0	1	true	5.523916297600733	false	4.8	69337	default	55
g2-n100-b2	2	100	2	plain	94	7	27484	93228	1.775	24.5	100	881.2907259769522	120.471	241.819	335.095	0	1	true	3.597572059864619	false	3.1	39755	default	56
g1-n100-b2	1	100	2	plain	94	6	26612	84120	0.911	12.2	100	485.26070274273076	254.072	302.949	314.843	0	1	true	2.2749419103910875	false	2.1	21933	default	56
g2-n100-b3	2	100	3	plain	94	7	26460	95400	1.803	24.4	100	865.4682448787189	121.405	250.599	345.515	0	1	true	3.631698405416088	false	3.2	39050	default	56
g8-n100-b3	8	100	3	plain	94	13	23596	104528	6.796	84.8	100	1808.6222662524697	36.229	168.626	263.122	0	1	true	6.103514421797339	false	5.0	81480	default	55
g1-n100-b3	1	100	3	plain	94	6	27812	87264	0.908	12.5	100	484.13466860190584	255.017	303.98	317.083	0	1	true	2.338942308961239	false	2.0	21893	default	56
g4-n100-b3	4	100	3	plain	94	9	25920	103384	3.521	46.6	100	1553.4903348492956	52.121	165.411	255.402	0	1	true	5.554835417517168	false	4.7	69944	default	55
g8-n100-bgogc100-gogc100	8	100	gogc100	plain	94	11	24968	105952	6.789	84.7	100	1805.138577387964	35.265	170.411	265.554	0	1	true	6.284518993524752	false	5.5	81311	100	56
g8-n100-bgogc400-gogc400	8	100	gogc400	plain	94	8	25340	216920	6.737	84.0	100	2280.1051957131544	37.193	100.151	170.847	0	1	true	7.646461267976096	false	6.8	102707	400	56
g8-n100-bgogc800-gogc800	8	100	gogc800	plain	94	8	27432	379456	6.813	84.8	100	2403.9683124863996	37.003	90.144	144.065	0	1	true	7.78514692092834	false	6.9	108267	800	55
g8-n25-b9-sens	8	25	9	plain	94	11	27428	68364	6.721	84.2	25	1704.920583735606	12.885	30.214	44.112	0	1	true	6.004001624651709	false	4.9	76742	default	56
g8-n400-b9-sens	8	400	9	plain	94	12	26632	268816	6.857	85.8	400	1897.9626451664622	166.32	567.584	822.179	0	1	true	6.163423348558067	false	5.9	85811	default	56
g1-n400-b9-sens	1	400	9	plain	94	6	23320	207028	0.938	13.0	400	479.7115323370698	983.664	1032.442	1057.833	0	1	true	2.2287837640621344	false	2.2	21998	default	56
g1-n100-b7-gct	1	100	7	plain	94	6	28204	87912	0.908	12.3	100	478.7471452419807	257.862	306.681	318.871	0	1	true	2.268819070785864	false	2.1	21646	default	56
g8-n100-b7-gct	8	100	7	plain	94	12	26904	108240	6.762	84.6	100	1717.6841042806416	38.28	174.212	276.207	0	1	true	6.268360403539355	false	5.6	77374	default	55
g1-n100-bgg100-gogc100	1	100	gg100	plain	94	5	26212	85860	0.905	12.4	100	467.45002353466043	263.424	312.94	324.748	0	1	true	2.3346769424929015	false	2.1	21141	100	56
g1-n100-bgg800-gogc800	1	100	gg800	plain	94	5	27020	331512	0.917	12.5	100	621.5753887789881	159.371	209.282	217.429	0	1	true	2.814670727281476	false	2.4	28083	800	56
g4-n100-bgg100-gogc100	4	100	gg100	plain	94	9	26560	102704	3.454	46.1	100	1561.8288570658522	53.049	158.262	244.952	0	1	true	5.553310882979308	false	4.6	70370	100	56
g4-n100-bgg800-gogc800	4	100	gg800	plain	94	8	25768	377704	3.507	46.5	100	2143.0991485167087	44.089	86.602	112.915	0	1	true	7.342969355740654	false	6.0	96541	800	56
