############################################################
# Endpoint A: GET /metadata/:key  (indexed single-row read)
############################################################
# target   http://127.0.0.1:8137/metadata/{key}
# per-level duration=8s warmup=1s
conc        req/s     p50ms     p90ms     p99ms     maxms    meanms     reqs     err%
1          4054.8      0.24      0.27      0.30      1.13      0.25    32439     0.00
8          5603.1      1.40      1.87      2.33      4.71      1.43    44829     0.00
16         5765.3      2.58      4.32      6.15     11.06      2.77    46132     0.00
32         5671.5      5.04      9.83     15.22     29.69      5.64    45391     0.00
64         5664.5     10.24     19.04     29.16     47.22     11.29    45345     0.00
128        5645.1     19.47     40.63     69.80    167.58     22.66    45209     0.00
256        5677.4     34.88     91.11    169.95    355.43     45.04    45490     0.00
512        5639.4     66.60    196.17    379.03    788.85     90.59    45283     0.00

############################################################
# Endpoint B: GET /metadata?limit=50  (range read, 50 rows)
############################################################
# target   http://127.0.0.1:8137/metadata?limit=50
# per-level duration=8s warmup=1s
conc        req/s     p50ms     p90ms     p99ms     maxms    meanms     reqs     err%
1          2139.9      0.46      0.49      0.58      2.05      0.47    17120     0.00
8          5097.3      1.52      2.06      2.79     10.47      1.57    40783     0.00
16         5134.2      2.90      4.79      6.97     29.41      3.12    41081     0.00
32         5133.3      5.49     10.99     16.97     30.56      6.23    41094     0.00
64         5031.8     11.51     21.36     32.42     55.20     12.71    40291     0.00
128        5022.1     21.63     46.01     80.12    217.09     25.46    40253     0.00
256        5009.1     39.31    103.57    193.52    442.38     51.03    40196     0.00
512        5059.2     73.78    217.03    427.55   1000.38    100.91    40704     0.00

############################################################
# Endpoint C: GET /healthz  (no DB touch — server ceiling)
############################################################
# target   http://127.0.0.1:8137/healthz
# per-level duration=8s warmup=1s
conc        req/s     p50ms     p90ms     p99ms     maxms    meanms     reqs     err%
1         14566.0      0.07      0.07      0.10      0.97      0.07   116529     0.00
8         34015.9      0.21      0.38      0.60      4.40      0.23   272132     0.00
16        37817.7      0.37      0.75      1.22      5.84      0.42   302558     0.00
32        37932.0      0.67      1.71      3.04     15.05      0.84   303489     0.00
64        39054.3      1.22      3.54      6.61     31.39      1.64   312495     0.00
128       38134.0      2.86      6.67     10.69     36.12      3.36   305175     0.00
256       37860.8      6.49     10.40     15.33     58.56      6.76   303151     0.00
512       37542.6     13.48     17.79     24.22    108.88     13.62   300927     0.00
