ts	dt_s	rss_kb	rss_mb	conn_app	conn_pub	proc_cpu_pct	host_cpu_pct	load1	req_per_s	msg_per_s	mem_avail_mb
1786795151	20	58512	57.1	1	0	0.2	1.0	0.18	0.000	0.000	499.6
1786795171	20	58516	57.1	2	1	0.2	1.4	0.13	0.050	0.000	499.1
1786795191	20	58516	57.1	2	1	0.2	1.5	0.09	0.000	0.000	499.2
1786795211	20	58516	57.1	1	1	0.1	0.8	0.06	0.000	0.000	499.2
1786795232	21	58516	57.1	1	1	0.2	1.2	0.04	0.000	0.000	498.9
1786795252	20	58516	57.1	1	1	0.2	1.4	0.03	0.000	0.000	498.9
1786795272	20	58016	56.7	1	1	0.1	1.1	0.08	0.000	0.000	498.9
1786795292	20	58016	56.7	2	1	0.3	1.5	0.06	0.050	0.000	499.1
1786795312	20	58536	57.2	2	1	0.3	1.9	0.04	0.000	0.000	499.1
1786795332	20	58536	57.2	1	1	0.1	1.1	0.03	0.000	0.000	499.1
1786795352	20	58536	57.2	1	1	0.2	1.3	0.02	0.000	0.000	498.6
1786795372	20	58536	57.2	1	1	0.3	1.7	0.01	0.000	0.000	498.6
1786795392	20	58536	57.2	2	4	0.1	1.2	0.01	0.000	0.000	498.5
1786795413	21	58536	57.2	2	4	0.3	1.2	0.00	0.000	0.000	498.5
1786795433	20	58536	57.2	1	4	0.3	1.7	0.00	0.000	0.000	498.2
1786795453	20	57964	56.6	1	4	0.1	1.1	0.00	0.000	0.000	497.5
1786795473	20	57964	56.6	1	3	0.2	1.3	0.00	0.000	0.000	494.6
1786795493	20	57964	56.6	1	3	0.3	1.6	0.00	0.000	0.000	490.6
1786795513	20	58960	57.6	1	3	0.1	1.0	0.00	0.000	0.000	490.6
1786795533	20	59216	57.8	1	3	0.2	1.3	0.00	0.000	0.000	488.4
1786795553	20	59216	57.8	1	3	0.3	1.5	0.00	0.000	0.000	487.7
1786795574	21	59216	57.8	1	3	0.1	1.0	0.00	0.000	0.000	486.5
1786795594	20	59216	57.8	1	3	0.2	1.3	0.00	0.000	0.000	486.2
1786795614	20	55888	54.6	1	3	0.3	5.1	0.00	0.000	0.000	528.4
1786795634	20	56364	55.0	1	3	0.2	1.2	0.00	0.000	0.000	524.3
1786795655	21	56108	54.8	1	3	0.2	1.5	0.00	0.000	0.000	523.0
1786795675	20	56108	54.8	1	3	0.3	1.7	0.00	0.000	0.000	519.4
1786795695	20	56108	54.8	1	0	0.1	1.1	0.00	0.000	0.000	519.2
1786795715	20	56108	54.8	1	0	0.3	2.1	0.00	0.000	0.000	515.3
1786795735	20	55208	53.9	2	2	0.3	2.1	0.00	0.000	0.000	507.8
1786795755	20	55208	53.9	2	2	0.1	0.9	0.00	0.000	0.000	505.9
1786795775	20	54200	52.9	1	2	0.2	1.3	0.00	0.000	0.000	505.7
1786795796	21	57188	55.8	1	2	0.3	1.4	0.00	0.000	0.000	504.5
1786795816	20	57188	55.8	1	2	0.1	1.4	0.00	0.000	0.000	501.4
1786795836	20	57188	55.8	1	2	0.3	1.2	0.00	0.000	0.000	501.3
1786795856	20	56812	55.5	1	2	0.2	1.5	0.00	0.000	0.000	501.3
1786795876	20	56752	55.4	1	2	0.2	1.0	0.00	0.000	0.000	501.2
1786795896	20	56852	55.5	1	2	0.3	1.5	0.06	0.000	0.000	501.3
1786795916	20	55668	54.4	2	4	0.3	1.9	0.04	0.000	0.000	501.1
1786795936	20	57192	55.9	2	4	0.4	1.2	0.03	0.050	0.000	497.9
1786795957	21	57192	55.9	1	4	0.3	1.4	0.02	0.000	0.000	496.9
1786795977	20	56864	55.5	1	4	0.2	1.2	0.01	0.000	0.000	497.0
1786795997	20	56596	55.3	1	4	0.2	1.4	0.01	0.000	0.000	497.3
1786796017	20	56596	55.3	1	4	0.3	1.6	0.15	0.000	0.000	497.3
1786796037	20	56096	54.8	1	2	0.2	1.1	0.11	0.000	0.000	497.4
1786796057	20	56096	54.8	1	2	0.1	1.0	0.08	0.000	0.000	494.7
1786796077	20	56068	54.8	1	2	0.3	1.6	0.05	0.000	0.000	494.1
1786796098	21	56068	54.8	1	2	0.3	1.3	0.04	0.000	0.000	493.7
1786796118	20	56068	54.8	1	2	0.1	0.9	0.03	0.000	0.000	490.1
1786796138	20	56068	54.8	1	2	0.2	1.5	0.02	0.000	0.000	488.6
1786796158	20	56068	54.8	1	2	0.3	1.3	0.25	0.000	0.000	488.4
1786796178	20	56068	54.8	1	2	0.3	1.2	0.24	0.000	0.000	488.5
1786796198	20	56068	54.8	1	2	0.1	1.5	0.23	0.000	0.000	484.5
1786796218	20	56068	54.8	1	0	0.2	1.4	0.24	0.000	0.000	484.7
1786796238	20	56068	54.8	1	0	0.2	1.2	0.25	0.000	0.000	484.9
1786796259	21	56068	54.8	1	0	0.2	1.1	0.18	0.000	0.000	485.3
1786796279	20	57868	56.5	1	0	0.2	1.4	0.26	0.000	0.000	485.3
1786796299	20	57868	56.5	1	0	0.2	1.2	0.27	0.000	0.000	485.4
1786796319	20	57868	56.5	1	0	0.1	1.3	0.19	0.000	0.000	485.4
1786796339	20	57868	56.5	1	0	0.3	1.3	0.14	0.000	0.000	485.2
1786796359	20	57868	56.5	1	0	0.2	1.2	0.10	0.000	0.000	485.3
1786796379	20	57868	56.5	1	0	0.1	1.2	0.14	0.000	0.000	485.5
1786796399	20	58000	56.6	2	2	0.7	1.7	0.10	0.050	0.000	485.6
1786796420	21	58000	56.6	2	2	0.3	1.5	0.07	0.000	0.000	485.5
1786796440	20	56108	54.8	1	2	0.2	2.1	0.05	0.000	0.000	488.4
1786796460	20	56108	54.8	1	2	0.3	1.2	0.03	0.000	0.000	488.2
1786796480	20	56184	54.9	1	2	0.3	1.2	0.02	0.000	0.000	488.4
1786796500	20	56184	54.9	1	2	0.1	1.2	0.02	0.000	0.000	488.5
1786796520	20	56488	55.2	2	2	0.3	1.5	0.01	0.050	0.000	488.5
1786796540	20	56392	55.1	2	2	0.2	1.1	0.01	0.000	0.000	487.9
1786796561	21	56392	55.1	1	2	0.1	1.4	0.00	0.000	0.000	486.7
1786796581	20	56392	55.1	1	2	0.3	1.4	0.00	0.000	0.000	484.6
1786796601	20	56392	55.1	1	2	0.3	1.2	0.00	0.000	0.000	481.5
1786796621	20	56392	55.1	1	2	0.1	1.5	0.00	0.000	0.000	480.8
1786796641	20	56392	55.1	1	2	0.3	1.3	0.00	0.000	0.000	479.7
1786796661	20	55580	54.3	1	2	0.3	1.2	0.00	0.000	0.000	478.3
1786796681	20	55580	54.3	1	2	0.1	1.4	0.00	0.000	0.000	478.2
1786796701	20	55460	54.2	1	1	0.3	1.4	0.00	0.000	0.000	478.1
1786796722	21	55680	54.4	1	1	0.3	1.3	0.00	0.000	0.000	477.9
1786796742	20	57732	56.4	1	0	0.1	1.1	0.00	0.000	0.000	499.9
1786796762	20	57884	56.5	1	0	0.2	1.4	0.07	0.000	0.000	500.0
1786796782	20	57884	56.5	1	0	0.3	1.3	0.05	0.000	0.000	500.0
1786796802	20	57800	56.4	1	0	0.1	1.1	0.04	0.000	0.000	500.1
1786796822	20	57800	56.4	1	0	0.2	1.0	0.02	0.000	0.000	499.1
1786796842	20	57864	56.5	1	0	0.3	1.3	0.02	0.000	0.000	498.5
1786796862	20	57864	56.5	1	0	0.1	1.3	0.01	0.000	0.000	498.6
1786796883	21	57864	56.5	1	0	0.2	1.1	0.09	0.000	0.000	498.6
1786796903	20	57952	56.6	1	0	0.3	1.2	0.06	0.000	0.000	498.4
1786796923	20	57984	56.6	1	0	0.2	1.3	0.04	0.000	0.000	498.3
1786796943	20	57984	56.6	1	0	0.3	1.2	0.03	0.000	0.000	498.1
1786796963	20	57160	55.8	1	0	0.2	1.3	0.02	0.000	0.000	497.7
1786796983	20	57196	55.9	2	2	0.8	1.5	0.01	0.050	0.000	496.5
1786797003	20	57196	55.9	2	2	0.3	1.4	0.01	0.000	0.000	495.9
1786797023	20	55472	54.2	2	2	0.3	1.3	0.01	0.000	0.000	495.4
1786797044	21	55472	54.2	2	2	0.1	1.2	0.00	0.000	0.000	495.5
1786797064	20	55408	54.1	2	2	0.3	1.2	0.06	0.000	0.000	495.5
1786797084	20	55644	54.3	2	2	0.3	1.1	0.04	0.000	0.000	495.3
1786797104	20	55644	54.3	2	2	0.1	1.1	0.03	0.000	0.000	495.4
1786797124	20	55644	54.3	2	2	0.3	1.2	0.02	0.000	0.000	495.5
1786797144	20	55644	54.3	2	2	0.3	1.1	0.01	0.000	0.000	495.5
1786797164	20	55644	54.3	2	2	0.1	1.1	0.01	0.000	0.000	495.5
1786797184	20	55644	54.3	2	2	0.3	1.3	0.01	0.000	0.000	495.6
1786797205	21	55644	54.3	2	2	0.3	1.2	0.00	0.000	0.000	495.2
1786797225	20	58096	56.7	2	2	0.1	1.2	0.00	0.000	0.000	495.2
1786797245	20	57588	56.2	2	2	0.3	1.5	0.80	0.000	0.000	495.2
1786797265	20	59080	57.7	2	1	0.2	1.3	0.72	0.000	0.000	495.1
1786797285	20	59080	57.7	2	1	0.1	1.3	0.64	0.000	0.000	494.9
1786797305	20	59080	57.7	2	1	0.3	0.9	0.46	0.000	0.000	494.9
1786797325	20	59080	57.7	2	1	0.3	1.3	0.33	0.000	0.000	495.0
1786797345	20	59080	57.7	2	1	0.1	1.3	0.23	0.000	0.000	495.0
1786797365	20	59080	57.7	2	1	0.3	1.2	0.17	0.000	0.000	493.4
1786797386	21	59080	57.7	2	1	0.3	1.1	0.12	0.000	0.000	493.4
1786797406	20	59080	57.7	2	1	0.1	1.1	0.08	0.000	0.000	517.3
1786797426	20	59080	57.7	2	1	0.2	1.3	0.06	0.000	0.000	510.2
1786797446	20	59080	57.7	2	1	0.3	1.2	0.04	0.000	0.000	506.6
1786797466	20	59080	57.7	2	1	0.1	1.3	0.03	0.000	0.000	506.7
1786797486	20	59080	57.7	2	1	0.2	1.2	0.02	0.000	0.000	506.7
1786797506	20	59080	57.7	2	1	0.3	1.1	0.01	0.000	0.000	506.8
1786797526	20	59320	57.9	2	1	0.3	1.5	0.01	0.000	0.000	506.9
1786797547	21	59320	57.9	2	1	0.3	1.1	0.01	0.000	0.000	506.2
1786797567	20	57748	56.4	2	1	0.3	2.6	0.07	0.000	0.000	503.8
1786797587	20	57748	56.4	2	1	0.1	1.3	0.05	0.000	0.000	499.2
1786797607	20	57748	56.4	2	1	0.3	1.1	0.03	0.000	0.000	499.2
1786797627	20	57748	56.4	2	1	0.3	1.3	0.02	0.000	0.000	499.1
1786797647	20	57748	56.4	1	1	0.1	1.3	0.02	0.000	0.000	493.9
1786797667	20	57748	56.4	1	1	0.2	1.2	0.01	0.000	0.000	493.9
1786797687	20	57748	56.4	1	1	0.3	1.3	0.01	0.000	0.000	493.8
1786797708	21	59468	58.1	1	1	0.2	1.3	0.08	0.000	0.000	493.8
1786797728	20	59468	58.1	1	1	0.2	1.2	0.06	0.000	0.000	493.6
1786797748	20	59468	58.1	1	1	0.3	1.2	0.04	0.000	0.000	493.5
1786797768	20	59184	57.8	1	1	0.1	1.3	0.10	0.000	0.000	493.5
1786797788	20	59184	57.8	1	1	0.2	1.4	0.14	0.000	0.000	493.6
1786797808	20	59096	57.7	1	1	0.3	1.4	0.10	0.000	0.000	493.4
1786797828	20	59096	57.7	1	1	0.3	1.5	0.07	0.000	0.000	493.5
