ts	rss_kb	vmsize_kb	threads	conn_app	conn_pub	proc_jiffies	cpu_total	cpu_idle	load1	req_total	msg_total	mem_avail_kb
1786795131	58512	1427104	9	1	0	13149	170089579	167319295	0.25	737	4	513100
1786795151	58512	1427104	9	1	0	13154	170093573	167323250	0.18	737	4	511592
1786795171	58516	1427104	9	2	1	13159	170097567	167327188	0.13	738	4	511120
1786795191	58516	1427104	9	2	1	13164	170101556	167331117	0.09	738	4	511136
1786795211	58516	1427104	9	1	1	13167	170105541	167335069	0.06	738	4	511136
1786795232	58516	1427104	9	1	1	13172	170109534	167339013	0.04	738	4	510912
1786795252	58516	1427104	9	1	1	13177	170113522	167342945	0.03	738	4	510912
1786795272	58016	1427104	9	1	1	13180	170117514	167346894	0.08	738	4	510912
1786795292	58016	1427104	9	2	1	13186	170121511	167350833	0.06	739	4	511028
1786795312	58536	1427104	9	2	1	13192	170125508	167354755	0.04	739	4	511036
1786795332	58536	1427104	9	1	1	13195	170129502	167358705	0.03	739	4	511036
1786795352	58536	1427104	9	1	1	13200	170133495	167362646	0.02	739	4	510588
1786795372	58536	1427104	9	1	1	13207	170137492	167366575	0.01	739	4	510588
1786795392	58536	1427104	9	2	4	13209	170141481	167370518	0.01	739	4	510428
1786795413	58536	1427104	9	2	4	13215	170145470	167374459	0.00	739	4	510428
1786795433	58536	1427104	9	1	4	13221	170149472	167378394	0.00	739	4	510204
1786795453	57964	1427104	9	1	4	13224	170153470	167382347	0.00	739	4	509448
1786795473	57964	1427104	9	1	3	13229	170157466	167386292	0.00	739	4	506452
1786795493	57964	1427104	9	1	3	13236	170161465	167390226	0.00	739	4	502356
1786795513	58960	1427104	9	1	3	13238	170165457	167394178	0.00	739	4	502356
1786795533	59216	1427104	9	1	3	13243	170169455	167398124	0.00	739	4	500144
1786795553	59216	1427104	9	1	3	13249	170173447	167402055	0.00	739	4	499388
1786795574	59216	1427104	9	1	3	13252	170177437	167406007	0.00	739	4	498128
1786795594	59216	1427104	9	1	3	13257	170181433	167409951	0.00	739	4	497904
1786795614	55888	1427104	9	1	3	13264	170185426	167413742	0.00	739	4	541068
1786795634	56364	1427104	9	1	3	13269	170189509	167417777	0.00	739	4	536872
1786795655	56108	1427104	9	1	3	13273	170193507	167421715	0.00	739	4	535544
1786795675	56108	1427104	9	1	3	13279	170197511	167425652	0.00	739	4	531820
1786795695	56108	1427104	9	1	0	13282	170201533	167429629	0.00	739	4	531660
1786795715	56108	1427104	9	1	0	13288	170205541	167433551	0.00	739	4	527656
1786795735	55208	1427104	9	2	2	13295	170209532	167437458	0.00	739	4	520008
1786795755	55208	1427104	9	2	2	13297	170213522	167441413	0.00	739	4	517996
1786795775	54200	1427104	9	1	2	13302	170217524	167445362	0.00	739	4	517796
1786795796	57188	1427104	9	1	2	13309	170221518	167449301	0.00	739	4	516624
1786795816	57188	1427104	9	1	2	13311	170225504	167453232	0.00	739	4	513392
