BenchmarkDiffOnly/noop/nodes=19-8         	  307422	      1573 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  306093	      1569 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  309477	      1537 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  308462	      1558 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  309410	      1540 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  306342	      1574 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  311054	      1558 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=19-8         	  310023	      1553 ns/op	        19.00 nodes	      16 B/op	       1 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   31152	     14912 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32215	     14992 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32474	     14907 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32204	     14830 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32418	     14991 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32526	     14815 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   30945	     14879 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=159-8        	   32275	     14823 ns/op	       159.0 nodes	     336 B/op	      21 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7485	     65252 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7465	     64264 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7460	     64260 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7425	     64210 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7438	     65871 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7462	     64714 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7467	     64601 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=670-8        	    7434	     67715 ns/op	       670.0 nodes	    1504 B/op	      94 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2611	    181642 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2733	    178251 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2709	    176769 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2724	    177867 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2697	    180600 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2688	    177273 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2704	    177050 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/noop/nodes=1762-8       	    2712	    177333 ns/op	      1762 nodes	    4000 B/op	     250 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  294900	      1643 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  291049	      1653 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  293972	      1645 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  292732	      1671 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  293293	      1667 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  293912	      1649 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  294031	      1684 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
BenchmarkDiffOnly/text_one/nodes=19-8     	  290466	      1667 ns/op	        19.00 nodes	      80 B/op	       3 allocs/op
