BenchmarkInteraction/noop/items=1/nodes=19-8         	  166461	      2748 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  177186	      3048 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  176017	      2703 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  185181	      2718 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  175591	      3145 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  175959	      2866 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  129136	      3789 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  141404	      3380 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  169542	      2829 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  174490	      2900 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  176905	      2764 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  170889	      3031 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  173804	      2755 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
BenchmarkInteraction/noop/items=1/nodes=19-8         	  175392	      2743 ns/op	        19.00 nodes	         0 patches/op	     712 B/op	      19 allocs/op
