run	elements	tput	ints	patch_rate	ms_win	ms_run	objs_int	kb_int	gen_cpu_pct
ab3/p5-before-r1	94	568.6	25613	1.000	1.778	1.898	22488	882.5	0.52
ab3/p5-before-r2	94	579.1	26084	1.000	1.743	1.863	22474	881.9	0.49
ab3/p5-before-r3	94	577.9	26032	1.000	1.743	1.863	22476	882.0	0.49
ab3/p5-after-r1	94	894.8	40290	1.000	1.130	1.199	16356	657.0	0.75
ab3/p5-after-r2	94	877.0	39492	1.000	1.106	1.227	16436	660.2	0.77
ab3/p5-after-r3	94	898.4	40450	1.000	1.125	1.198	16418	659.5	0.72
ab3/p60-before-r1	974	56.9	2578	1.000	17.609	19.465	239595	9648.2	0.10
ab3/p60-before-r2	974	57.9	2623	1.000	17.497	19.127	239456	9641.8	0.10
ab3/p60-before-r3	974	59.1	2680	1.000	16.685	18.731	238971	9621.2	0.09
ab3/p60-after-r1	974	100.2	4535	1.000	9.848	10.928	170728	7081.5	0.14
ab3/p60-after-r2	974	100.3	4537	1.000	9.912	10.886	170307	7063.9	0.14
ab3/p60-after-r3	974	96.9	4383	1.000	10.188	11.300	171141	7099.5	0.16
