run	elements	tput	ints	patch_rate	objs_int	kb_int
p5-before-r1	94	851.0	38318	1.000	16469	661.6
p5-before-r2	94	890.7	40104	1.000	16423	659.7
p5-before-r3	94	872.1	39270	1.000	16443	660.5
p5-after-r1	94	1057.5	47609	1.000	12637	538.8
p5-after-r2	94	1026.7	46221	1.000	12671	540.4
p5-after-r3	94	1022.4	46032	1.000	12660	539.9
p60-before-r1	974	100.1	4527	1.000	170718	7081.2
p60-before-r2	974	98.6	4461	1.000	170852	7087.3
p60-before-r3	974	98.9	4474	1.000	170637	7077.9
p60-after-r1	974	121.7	5500	1.000	129496	5751.6
p60-after-r2	974	119.4	5395	1.000	128922	5726.8
p60-after-r3	974	103.3	4676	1.000	131046	5825.1
