run	elements	tput	cpu_s	wall_s	ints	patch_rate	objs_int	kb_int	valid
p5-after-r1	94	1147.1	25.25	25	28965	1	8936	439.1	true
p5-after-r2	94	1136.2	25.24	25	28677	1	9055	438.8	true
p5-after-r3	94	1147.5	25.18	25	28895	1	9085	444.2	true
p5-b2-r1	94	1165.2	25.16	25	29316	1	8817	438.9	true
p5-b2-r2	94	1169.3	25.20	25	29467	1	8744	433.1	true
p5-b2-r3	94	1162.2	25.20	25	29289	1	8710	433.9	true
p60-after-r1	974	133.5	25.58	26	3414	1	92515	4644.0	true
p60-after-r2	974	132.6	25.57	25	3391	1	94620	4731.1	true
p60-after-r3	974	134.5	25.51	25	3430	1	93149	4668.2	true
p60-b2-r1	974	137.1	25.43	25	3487	1	90078	4567.8	true
p60-b2-r2	974	137.5	25.32	25	3481	1	90164	4563.6	true
p60-b2-r3	974	137.4	25.42	26	3494	1	90039	4588.6	true
