run	elements	tput	cpu_s	wall_s	ints	patch_rate	objs_int	kb_int	valid
p5-after-r1	94	1150.3	25.18	25	28964	1	9035	438.8	true
p5-after-r2	94	1143.5	25.21	25	28828	1	9113	440.8	true
p5-after-r3	94	1129.2	25.17	26	28423	1	8993	437.9	true
p5-before-r1	94	1049.0	25.17	26	26403	1	11056	502.0	true
p5-before-r2	94	1050.1	25.20	26	26464	1	11032	504.0	true
p5-before-r3	94	1028.8	25.18	25	25906	1	11309	512.8	true
p60-after-r1	974	132.9	25.21	26	3351	1	94514	4696.8	true
p60-after-r2	974	121.9	25.40	26	3096	1	93196	4650.2	true
p60-after-r3	974	129.9	25.47	26	3310	1	94807	4732.8	true
p60-before-r1	974	120.9	25.22	26	3048	1	115509	5370.2	true
p60-before-r2	974	115.3	25.54	26	2944	1	115594	5346.2	true
p60-before-r3	974	119.2	25.54	26	3044	1	115005	5304.9	true
